,Topic,Word,P
0,1,featur,0.024919692426919937
1,1,use,0.01853969506919384
2,1,problem,0.01519359927624464
3,1,option,0.014160951599478722
4,1,work,0.012599973939359188
5,1,issu,0.011807477101683617
6,1,screen,0.009998343884944916
7,1,thing,0.009822233580052853
8,1,phone,0.008757567033171654
9,1,time,0.007748934905976057
10,0,problem,0.03413957729935646
11,0,work,0.03326746076345444
12,0,time,0.017560925334692
13,0,phone,0.017425451427698135
14,0,issu,0.016951290890574455
15,0,use,0.016781948506832123
16,0,fix,0.014969981275498867
17,0,game,0.01274312473833561
18,0,crash,0.012683854438364506
19,0,clash,0.011574659496545792
20,3,game,0.08534042537212372
21,3,get,0.026714632287621498
22,3,play,0.0260208360850811
23,3,level,0.025327039882540703
24,3,fun,0.015613888390362263
25,3,item,0.015266990289092064
26,3,thing,0.013185600750148296
27,3,way,0.012838702648878098
28,3,time,0.012491804547607899
29,3,realli,0.0121449064463377
30,5,work,0.15067186951637268
31,5,updat,0.07534147799015045
32,5,galaxi,0.049862075597047806
33,5,sinc,0.043215278536081314
34,5,problem,0.028813878074288368
35,5,lollipop,0.024382678791880608
36,5,fix,0.023274878039956093
37,5,samsung,0.023274878039956093
38,5,date,0.023274878039956093
39,5,note,0.019951477646827698
40,4,mode,0.07406367361545563
41,4,camera,0.053639356046915054
42,4,auto,0.04087416082620621
43,4,featur,0.04087416082620621
44,4,landscap,0.0383211225271225
45,4,work,0.03576808050274849
46,4,clash,0.03066200390458107
47,4,portrait,0.03066200390458107
48,4,video,0.02810896374285221
49,4,rotat,0.0255559254437685
50,9,deck,0.08693698048591614
51,9,thing,0.056969042867422104
52,9,builder,0.05397225171327591
53,9,counter,0.03898828476667404
54,9,see,0.024004315957427025
55,9,price,0.024004315957427025
56,9,addit,0.02100752294063568
57,9,life,0.02100752294063568
58,9,function,0.02100752294063568
59,9,player,0.02100752294063568
60,2,sourc,0.10293244570493698
61,2,code,0.04752859100699425
62,2,dungeon,0.03169891983270645
63,2,fix,0.03169891983270645
64,2,game,0.03169891983270645
65,2,platform,0.023784084245562553
66,2,android,0.01982666552066803
67,2,trust,0.015869246795773506
68,2,town,0.015869246795773506
69,2,check,0.015869246795773506
70,8,account,0.049898210912942886
71,8,wallet,0.045743487775325775
72,8,import,0.045743487775325775
73,8,transact,0.041588764637708664
74,8,desktop,0.03327932208776474
75,8,file,0.03327932208776474
76,8,bitcoin,0.029124600812792778
77,8,gnucash,0.029124600812792778
78,8,export,0.024969879537820816
79,8,companion,0.016660435125231743
80,6,issu,0.03867296874523163
81,6,content,0.03867296874523163
82,6,zte,0.03867296874523163
83,6,blade,0.03867296874523163
84,6,npr,0.029028834775090218
85,6,comment,0.019384704530239105
86,6,work,0.019384704530239105
87,6,regard,0.019384704530239105
88,6,view,0.019384704530239105
89,6,rock,0.019384704530239105
90,10,combat,0.03684661537408829
91,10,tri,0.024605214595794678
92,10,luck,0.024605214595794678
93,10,base,0.024605214595794678
94,10,clash,0.024605214595794678
95,10,game,0.024605214595794678
96,10,play,0.024605214595794678
97,10,station,0.024605214595794678
98,10,version,0.024605214595794678
99,10,charact,0.024605214595794678
100,7,featur,0.030598264187574387
101,7,balanc,0.030598264187574387
102,7,includ,0.030598264187574387
103,7,air,0.030598264187574387
104,7,rogu,0.030598264187574387
105,7,experi,0.015375246293842793
106,7,tom,0.015375246293842793
107,7,shop,0.015375246293842793
108,7,project,0.015375246293842793
109,7,etc,0.015375246293842793
110,13,cpu,0.030598264187574387
111,13,featur,0.030598264187574387
112,13,output,0.030598264187574387
113,13,gpu,0.030598264187574387
114,13,hdmi,0.030598264187574387
115,13,audit,0.015375246293842793
116,13,work,0.015375246293842793
117,13,camera,0.015375246293842793
118,13,profil,0.015375246293842793
119,13,ram,0.015375246293842793
120,11,map,0.033673983067274094
121,11,colour,0.033673983067274094
122,11,requir,0.033673983067274094
123,11,calcul,0.033673983067274094
124,11,composit,0.033673983067274094
125,11,show,0.016920756548643112
126,11,use,0.016920756548643112
127,11,place,0.016920756548643112
128,11,issu,0.016920756548643112
129,11,clash,0.016920756548643112
130,12,easili,0.04821300134062767
131,12,rest,0.024226434528827667
132,12,pub,0.024226434528827667
133,12,access,0.024226434528827667
134,12,mob,0.024226434528827667
135,12,symbol,0.024226434528827667
136,12,pipe,0.024226434528827667
137,12,½qexcel,0.024226434528827667
138,12,droit,0.024226434528827667
139,12,featur,0.0002398656797595322
140,14,draw,0.025447215884923935
141,14,galaxi,0.025447215884923935
142,14,feel,0.025447215884923935
143,14,adjust,0.025447215884923935
144,14,sensit,0.025447215884923935
145,14,samsung,0.025447215884923935
146,14,pressur,0.025447215884923935
147,14,bright,0.025447215884923935
148,14,use,0.000251952646067366
149,14,featur,0.000251952646067366
150,15,quickli,0.025447215884923935
151,15,becom,0.025447215884923935
152,15,gather,0.025447215884923935
153,15,land,0.025447215884923935
154,15,play,0.025447215884923935
155,15,gameplay,0.025447215884923935
156,15,motiv,0.025447215884923935
157,15,treasur,0.025447215884923935
158,15,use,0.000251952646067366
159,15,featur,0.000251952646067366
