,Topic,Word,P
0,0,work,0.1512385755777359
1,0,time,0.06851653009653091
2,0,clash,0.04227263480424881
3,0,download,0.03215935453772545
4,0,way,0.020414035767316818
5,0,game,0.017852621152997017
6,0,stop,0.017821425572037697
7,0,take,0.01708986423909664
8,0,error,0.015459871850907803
9,0,everi,0.015230640769004822
10,1,option,0.06157655641436577
11,1,screen,0.038958802819252014
12,1,show,0.03469095751643181
13,1,file,0.03061814419925213
14,1,add,0.028767885640263557
15,1,page,0.027391256764531136
16,1,button,0.021932484582066536
17,1,remot,0.017348308116197586
18,1,home,0.01474535558372736
19,1,open,0.014375446364283562
20,2,use,0.12928274273872375
21,2,start,0.026852300390601158
22,2,devic,0.025438841432332993
23,2,get,0.024801913648843765
24,2,post,0.017764225602149963
25,2,access,0.017378609627485275
26,2,abl,0.016959888860583305
27,2,account,0.015176859684288502
28,2,keep,0.014701767824590206
29,2,fail,0.01330297626554966
30,3,wife,0.03692363202571869
31,3,move,0.021302692592144012
32,3,program,0.017598873004317284
33,3,let,0.015348589047789574
34,3,type,0.014347903430461884
35,3,phone,0.014008360914885998
36,3,call,0.0126650994643569
37,3,everyth,0.0126423891633749
38,3,key,0.011287705972790718
39,3,sort,0.01108680758625269
40,4,fix,0.08104417473077774
41,4,star,0.07339383661746979
42,4,problem,0.06750927120447159
43,4,search,0.02788996510207653
44,4,thing,0.02666945941746235
45,4,give,0.022465739399194717
46,4,rate,0.019680609926581383
47,4,issu,0.016820088028907776
48,4,sometim,0.016624655574560165
49,4,peopl,0.015572754666209221
50,5,connect,0.04411369562149048
51,5,phone,0.027950230985879898
52,5,contact,0.02759549207985401
53,5,book,0.022976525127887726
54,5,develop,0.02143073081970215
55,5,son,0.020439375191926956
56,5,root,0.017687179148197174
57,5,view,0.017102519050240517
58,5,date,0.014533680863678455
59,5,issu,0.01319227647036314
60,6,problem,0.12776072323322296
61,6,play,0.04682289808988571
62,6,phone,0.032890357077121735
63,6,load,0.026251208037137985
64,6,galaxi,0.02352721616625786
65,6,see,0.02278825081884861
66,6,thank,0.017455805093050003
67,6,video,0.017037248238921165
68,6,list,0.015934068709611893
69,6,player,0.01584961824119091
70,7,featur,0.11691256612539291
71,7,chang,0.025446245446801186
72,7,look,0.02101089246571064
73,7,lot,0.01675066165626049
74,7,ape,0.01596965081989765
75,7,server,0.013366542756557465
76,7,thing,0.013205689378082752
77,7,bar,0.012635593302547932
78,7,icon,0.012290867045521736
79,7,facebook,0.012028370052576065
80,8,issu,0.06662198156118393
81,8,crash,0.05551290139555931
82,8,version,0.03600756451487541
83,8,help,0.026305578649044037
84,8,tri,0.025315498933196068
85,8,keyboard,0.024423032999038696
86,8,need,0.024071551859378815
87,8,support,0.023521970957517624
88,8,sourc,0.02064519375562668
89,8,text,0.018325163051486015
