,Topic,Word,P
0,0,problem,0.035930074751377106
1,0,time,0.030451633036136627
2,0,work,0.0295348409563303
3,0,star,0.020274927839636803
4,0,fix,0.020068485289812088
5,0,screen,0.0177607499063015
6,0,use,0.015017051249742508
7,0,option,0.01368649210780859
8,0,clash,0.012019327841699123
9,0,phone,0.011635919101536274
10,1,problem,0.0323215052485466
11,1,work,0.024660976603627205
12,1,phone,0.020936323329806328
13,1,crash,0.018427453935146332
14,1,keep,0.01582392118871212
15,1,file,0.014651153236627579
16,1,page,0.014172936789691448
17,1,use,0.013620877638459206
18,1,time,0.013221240602433681
19,1,clash,0.012746933847665787
20,2,thing,0.024480469524860382
21,2,problem,0.020289810374379158
22,2,featur,0.018198635429143906
23,2,help,0.017391687259078026
24,2,work,0.016657741740345955
25,2,play,0.016544081270694733
26,2,post,0.014913199469447136
27,2,contact,0.013947496190667152
28,2,issu,0.013695331290364265
29,2,make,0.011105316691100597
30,3,featur,0.030916282907128334
31,3,use,0.024980906397104263
32,3,file,0.013873424381017685
33,3,ape,0.013632213696837425
34,3,problem,0.013039087876677513
35,3,star,0.012725507840514183
36,3,move,0.012694464065134525
37,3,video,0.012258629314601421
38,3,fail,0.012141904793679714
39,3,phone,0.01131336111575365
40,4,issu,0.06481437385082245
41,4,work,0.030461089685559273
42,4,use,0.02995974011719227
43,4,game,0.028700483962893486
44,4,featur,0.02845308743417263
45,4,version,0.023748105391860008
46,4,fix,0.020038068294525146
47,4,keyboard,0.016555549576878548
48,4,problem,0.014717847108840942
49,4,andro,0.010175553150475025
